phi0_omega_k,phi1_u_eff_k,phi2_bias,y_omega_k1
-2.06683731,0.10000004,1.00000000,-1.90784991
-1.90784991,0.10000004,1.00000000,-2.06683731
-2.06683731,0.10000004,1.00000000,-2.06683731
-2.06683731,0.10000004,1.00000000,-1.90784991
-1.90784991,0.10000004,1.00000000,-2.06683731
-2.06683731,0.10000004,1.00000000,-2.06683731
-2.06683731,0.10000004,1.00000000,-2.06683731
-2.06683731,0.02000001,1.00000000,-1.90784991
-1.90784991,0.00000000,1.00000000,-1.58987486
-1.58987486,0.00000000,1.00000000,-1.43088734
-1.43088734,0.00000000,1.00000000,-0.95392495
-0.95392495,0.00000000,1.00000000,-0.63594991
-0.63594991,0.00000000,1.00000000,-0.31797495
-0.31797495,0.00000000,1.00000000,-0.15898748
-0.15898748,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,-0.08000004,1.00000000,0.63594991
0.63594991,-0.10000004,1.00000000,1.11291242
1.11291242,-0.10000004,1.00000000,1.58987486
1.58987486,-0.10000004,1.00000000,1.74886227
1.74886227,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,1.74886227
1.74886227,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
